CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
54;310179;681350;21790;52,7;15,0;28,1;18,1;17,6;13,7;9,3;8,7;6,2;31,4;65,8;58,1;2,6;5,1;29,0;14,5;6,0;1,9;2,7;1,4;-15,3;11390;37510;3,3
55;79250;174434;20830;50,2;14,4;24,1;17,9;16,1;13,5;10,1;10,7;8,0;30,6;64,5;55,7;2,4;6,4;33,2;10,2;6,2;2,1;2,8;1,3;-14,1;11810;33640;2,8
56;346518;754832;21830;55,0;11,0;19,3;13,3;12,7;11,3;7,1;8,2;6,0;24,6;64,1;55,1;2,9;6,1;36,6;9,7;5,1;1,9;2,2;1,0;-15,5;12800;36020;2,8
57;436595;981581;21820;49,8;15,6;25,3;20,5;18,9;13,5;10,0;9,8;7,3;30,6;59,7;52,8;2,7;4,2;27,7;20,8;5,4;1,7;2,5;1,2;-13,6;11250;39380;3,5
58;97127;194334;20510;50,5;15,5;25,2;20,5;19,1;16,6;10,8;9,3;9,1;31,4;57,8;49,9;2,3;5,6;41,4;8,6;6,7;1,9;3,5;1,3;-14,5;11430;32960;2,9
59;1062524;2494094;20290;51,3;18,9;30,6;22,1;20,9;18,0;12,5;10,9;7,4;35,5;73,3;65,1;3,1;5,1;26,2;7,8;8,5;2,8;3,8;1,9;-15,8;10740;35980;3,3
60;330324;809216;22250;61,1;12,9;20,4;16,1;14,6;11,9;8,5;7,4;5,1;27,3;76,8;69,6;2,9;4,3;26,5;7,4;6,1;2,5;2,4;1,2;-16,8;12130;37480;3,1
61;123862;265938;20350;48,2;15,1;24,7;19,2;18,6;15,5;9,9;9,1;7,7;31,3;62,0;53,3;2,5;6,2;36,5;9,0;6,4;2,2;2,8;1,4;-13,9;11540;32610;2,8
62;608027;1434341;19560;47,6;18,4;30,4;22,5;20,3;17,1;11,8;11,9;7,4;35,1;69,5;61,5;3,0;5,0;29,4;6,9;8,6;2,9;3,8;1,9;-14,4;11050;32550;2,9
63;294830;629377;22100;56,4;13,1;24,0;15,2;14,2;12,6;9,0;9,3;6,2;28,0;70,2;62,4;2,6;5,2;31,1;9,7;5,4;1,8;2,4;1,2;-16,4;12070;37240;3,1
64;310494;659333;22110;56,4;12,1;21,7;13,6;13,7;12,5;8,4;9,4;6,3;23,5;66,5;57,7;2,9;5,9;33,8;11,2;5,3;1,6;2,5;1,2;-16,8;12420;38400;3,1
65;103905;214413;20720;50,2;14,7;25,3;19,2;16,6;14,3;10,6;12,1;8,4;29,6;61,8;52,6;3,1;6,1;38,1;8,2;6,4;1,8;3,2;1,4;-14,5;11670;33590;2,9
66;222571;466873;19610;47,7;20,7;34,1;26,4;24,4;22,0;14,1;13,4;10,6;36,7;58,9;48,4;3,7;6,8;37,8;10,3;8,3;2,2;4,1;2,0;-15,3;10320;33900;3,3
67;479173;1096704;22860;61,0;13,2;22,2;16,5;16,0;11,7;8,6;7,3;5,0;26,3;76,2;68,6;2,7;4,9;27,0;9,2;5,2;1,9;2,1;1,2;-17,6;11970;39800;3,3
68;322064;739047;23300;61,5;13,0;21,1;16,8;15,9;11,9;8,4;7,0;5,0;27,1;77,3;70,3;3,0;4,0;27,7;8,2;4,7;1,8;1,9;1,0;-17,9;12080;44110;3,7
69;781975;1782429;23190;63,2;14,2;21,6;15,8;16,5;13,9;9,4;8,2;5,0;26,0;78,4;70,5;3,0;4,9;24,1;11,0;5,6;2,2;2,2;1,2;-19,1;11670;43110;3,7
70;104162;230197;20840;51,4;12,9;21,1;15,8;14,5;12,3;9,2;9,9;7,3;28,1;67,1;59,4;2,7;5,0;33,5;7,4;6,0;2,2;2,6;1,2;-14,0;12250;33270;2,7
71;247534;531016;21000;52,9;12,9;19,8;16,3;15,2;12,8;8,9;9,4;6,8;26,6;65,1;56,5;2,6;6,0;35,6;8,7;5,8;2,1;2,5;1,2;-15,2;12230;34520;2,8
72;245525;551321;21210;53,6;13,2;23,1;16,2;15,5;12,5;8,1;7,2;5,3;30,9;68,3;60,9;2,7;4,7;32,6;7,9;6,1;2,4;2,4;1,3;-14,9;12060;33920;2,8
73;193116;427391;23210;63,5;10,1;16,6;11,7;11,9;9,9;6,7;7,0;5,0;20,4;72,5;63,0;3,0;6,5;28,9;11,7;4,1;1,7;1,6;0,8;-17,2;13110;39150;3,0
